,ტექსტი,ა,ბ,გ,დ,პასუხი,საკითხები
0,"მოცემულია ტეხილი წერტილებით ([-8, -7], [17, -5], [6, -18], [-14, -16], [13, -1]). გამოთვალეთ ტეხილის სიგრძე.",93.1,109.1,73.6,83.4,ა,GEO2D-2.2
1,"მოცემულია ტეხილი წერტილებით ([-6, 13], [-6, -1], [17, -6], [-11, -16], [18, 17]). გამოთვალეთ ტეხილის სიგრძე.",122.9,123.1,111.1,127.8,გ,GEO2D-2.2
2,"მოცემულია ტეხილი წერტილებით ([4, -3], [-1, 17], [-19, 2], [-11, 14], [19, -8]). გამოთვალეთ ტეხილის სიგრძე.",95.6,75.9,110.6,100.4,ა,GEO2D-2.2
3,"მოცემულია ტეხილი წერტილებით ([-19, -6], [-19, -15], [-18, -16], [-17, 9], [15, 5]). გამოთვალეთ ტეხილის სიგრძე.",52.7,76.0,67.6,49.4,გ,GEO2D-2.2
4,"მოცემულია ტეხილი წერტილებით ([15, 4], [-13, 8], [9, 8], [16, 7], [-4, -13]). გამოთვალეთ ტეხილის სიგრძე.",78.4,88.8,94.9,85.7,დ,GEO2D-2.2
5,"მოცემულია ტეხილი წერტილებით ([7, 0], [6, -19], [-3, 0], [16, 9], [16, 17]). გამოთვალეთ ტეხილის სიგრძე.",79.1,81.3,69.0,53.5,გ,GEO2D-2.2
6,"მოცემულია ტეხილი წერტილებით ([17, 19], [-2, -4], [-2, 3], [2, 11], [-1, 19]). გამოთვალეთ ტეხილის სიგრძე.",43.7,41.1,52.0,54.2,დ,GEO2D-2.2
7,"მოცემულია ტეხილი წერტილებით ([6, -15], [-4, 1], [17, 18], [-12, -20], [14, 3]). გამოთვალეთ ტეხილის სიგრძე.",125.5,128.4,119.6,147.8,ბ,GEO2D-2.2
8,"მოცემულია ტეხილი წერტილებით ([17, -9], [-3, 0], [1, 7], [-19, -5], [1, -2]). გამოთვალეთ ტეხილის სიგრძე.",73.5,85.0,86.1,61.5,ა,GEO2D-2.2
9,"მოცემულია ტეხილი წერტილებით ([-5, 12], [1, -10], [-8, 7], [-4, 2], [-8, 13]). გამოთვალეთ ტეხილის სიგრძე.",41.7,68.5,60.1,52.7,გ,GEO2D-2.2
10,"მოცემულია ტეხილი წერტილებით ([-8, 6], [2, -17], [-3, 7], [2, 11], [17, -5]). გამოთვალეთ ტეხილის სიგრძე.",59.3,82.3,71.9,77.9,დ,GEO2D-2.2
11,"მოცემულია ტეხილი წერტილებით ([14, 5], [-7, -5], [-15, 8], [11, -2], [15, 13]). გამოთვალეთ ტეხილის სიგრძე.",66.2,82.0,96.4,69.5,ბ,GEO2D-2.2
12,"მოცემულია ტეხილი წერტილებით ([-6, -17], [-6, -4], [15, -3], [-5, -13], [10, -14]). გამოთვალეთ ტეხილის სიგრძე.",69.5,56.1,71.4,82.5,გ,GEO2D-2.2
13,"მოცემულია ტეხილი წერტილებით ([7, 5], [-5, -3], [15, 0], [18, -12], [-4, -20]). გამოთვალეთ ტეხილის სიგრძე.",87.5,64.5,70.4,65.6,გ,GEO2D-2.2
14,"მოცემულია ტეხილი წერტილებით ([-1, -5], [11, -16], [-18, -18], [-6, 1], [-19, -12]). გამოთვალეთ ტეხილის სიგრძე.",86.3,91.2,67.3,84.0,ა,GEO2D-2.2
15,"მოცემულია ტეხილი წერტილებით ([-5, -10], [-17, -13], [-16, -11], [12, -7], [-8, -8]). გამოთვალეთ ტეხილის სიგრძე.",82.2,82.4,58.6,62.9,დ,GEO2D-2.2
